iddueno,numregistro,Frecesion,FAdquisicion
86,5,30/07/2003,06/01/2006
21,48,07/08/2001,10/07/2008
116,89,21/11/2001,03/02/2015
215,53,10/11/2002,31/05/2006
289,17,27/03/2004,26/06/2014
1,51,08/07/2001,06/07/2014
128,45,02/02/2004,01/10/2011
34,28,03/02/2003,30/09/2005
188,71,02/01/2004,10/08/2009
5,80,02/09/2002,05/10/2012
273,71,02/09/2001,01/10/2013
64,64,27/09/2002,06/03/2007
246,93,15/02/2002,14/12/2008
141,10,03/06/2004,11/04/2008
63,65,06/01/2001,01/11/2011
89,42,30/04/2002,28/11/2013
43,69,13/12/2002,15/05/2015
