idventa,numregistro,iddueno,idasesor,FAquisicion,ValorPropiedad
92,27,89,14,17/04/2002,1559039
93,75,289,42,18/06/2011,893743
94,36,271,17,09/06/2007,4668503
95,81,105,23,28/02/2007,1352509
96,21,135,12,10/12/2009,7712886
97,56,154,24,02/09/2006,4868008
98,40,145,37,23/05/2015,723251
99,33,39,29,18/04/2001,8439072
100,83,22,11,24/01/2012,3105741
101,68,120,43,19/05/2016,9628581
102,30,299,40,08/06/2000,2332811
103,37,169,39,05/02/2010,2314890
104,66,159,39,10/05/2013,8181834
105,62,82,39,05/03/2006,738788
106,56,32,8,21/02/2017,6180997
107,48,108,37,03/10/2009,3335918
108,74,221,23,03/05/2015,4827894
109,5,106,1,09/08/2006,6572204
110,79,25,26,08/04/2009,7148886
111,76,201,4,30/06/2001,6255762
112,80,224,46,11/09/2006,6984311
113,94,264,30,07/01/2010,7462976
114,55,297,41,05/06/2015,3466510
115,70,236,46,21/09/2011,6013305
116,89,190,8,10/03/2005,2912963
117,87,131,38,30/09/2000,1735677
118,25,73,26,27/01/2001,6221326
119,42,196,24,28/09/2012,6444442
120,3,265,14,13/11/2015,6999194
121,56,287,38,24/06/2003,9930544
122,58,264,30,15/03/2014,9443669
123,37,257,48,22/08/2010,3617087
124,99,276,2,24/11/2015,9997578
125,50,55,38,29/04/2008,1753249
126,72,231,29,16/12/2000,7612688
127,37,116,33,07/12/2016,6024667
128,40,108,44,15/04/2017,2402325
129,59,276,43,08/06/2016,6935069
130,96,3,27,01/04/2005,884180
131,13,188,24,14/05/2001,4353026
132,24,181,17,12/07/2004,2692378
133,95,121,22,30/01/2011,1031178
134,66,160,2,30/01/2003,4396497
135,53,40,39,10/02/2003,2061659
136,13,103,49,22/12/2006,7862317
137,38,151,39,07/10/2014,5384333
138,48,122,1,29/04/2004,9112437
139,70,169,10,29/08/2001,8472287
140,40,234,32,10/03/2014,5486870
141,76,105,10,17/09/2004,8725184
142,22,60,6,02/02/2014,2444701
143,14,141,23,06/07/2010,1253446
144,74,47,39,05/07/2008,4699155
145,66,225,7,17/03/2004,7280224
146,36,283,19,31/03/2009,5320113
147,13,116,2,06/06/2014,7970640
148,51,226,5,05/06/2017,7885546
149,100,52,31,03/12/2009,6872902
150,44,216,39,13/06/2009,5225895
151,12,47,41,13/06/2002,7290441
152,89,278,18,07/07/2011,8396599
153,87,103,42,15/06/2000,4640025
154,12,299,4,28/01/2009,5004935
155,26,87,32,27/06/2000,3240190
156,47,115,20,21/12/2007,7001043
157,47,274,10,18/01/2007,6097447
158,35,102,19,18/04/2003,9030651
159,37,247,18,21/06/2002,7285682
160,84,4,14,04/08/2004,7267636
161,80,138,5,13/01/2017,6935348
162,81,42,39,11/08/2009,5425000
163,63,252,15,17/09/2010,2001177
164,82,196,2,24/09/2000,7009917
165,57,202,23,28/03/2014,1905407
166,52,32,6,30/05/2011,4528414
167,83,77,10,17/11/2009,9467212
168,75,224,4,19/04/2015,721890
169,38,268,23,21/10/2002,7771055
170,28,67,17,25/09/2014,3420533
171,57,182,35,20/10/2013,5709596
172,16,183,3,09/04/2017,1789284
173,1,205,23,22/08/2000,7421640
174,29,147,24,21/06/2004,3388907
175,45,197,16,30/05/2011,2314343
176,82,4,20,10/08/2009,7138358
177,48,284,41,09/09/2011,6992314
178,61,294,2,04/11/2015,2389563
179,37,65,10,12/05/2016,1579598
180,14,77,19,05/11/2011,4865057
181,36,225,27,29/07/2005,3769660
182,92,232,1,09/03/2009,6979059
183,43,229,34,11/08/2010,7768315
184,84,31,38,16/08/2005,6895188
185,94,212,37,11/11/2005,6071443
186,43,38,4,07/09/2011,1984639
187,99,16,31,27/06/2010,5648262
188,42,106,19,27/11/2012,4053722
189,79,196,3,19/07/2011,3721732
190,57,37,16,06/06/2017,8229791
191,53,141,15,02/04/2010,2181535
192,86,153,4,03/02/2004,6269170
193,29,195,4,09/02/2001,8723451
194,76,3,43,25/10/2004,6964086
195,77,176,7,27/12/2013,4314305
196,40,131,10,04/10/2006,3619045
197,62,146,19,27/07/2002,1647253
198,75,98,42,16/09/2008,4486003
199,29,160,10,24/12/2006,3048524
200,17,148,49,16/12/2003,8883486
201,95,19,22,01/07/2006,2980276
202,41,232,14,18/09/2013,7908171
203,49,238,8,26/07/2016,5404093
204,30,253,27,24/11/2010,9914331
205,66,271,42,11/07/2014,3159532
206,22,136,37,28/01/2001,903870
207,13,30,39,21/10/2015,3316278
208,28,112,7,31/05/2011,6829960
209,19,158,43,04/05/2001,6336921
210,48,56,12,25/10/2012,6414128
211,41,160,9,04/01/2011,6607770
212,69,37,25,07/05/2006,9929349
213,96,24,44,27/02/2001,9930680
214,67,232,50,02/02/2004,5051521
215,61,139,43,21/02/2016,4959303
216,46,254,47,14/06/2009,5305294
217,27,241,33,29/03/2012,8015993
218,24,138,42,21/06/2001,5260455
219,83,92,22,27/05/2010,1646683
220,83,111,30,25/08/2003,9988419
221,74,191,46,04/08/2016,9049553
222,98,266,1,08/05/2009,4221059
223,63,197,43,16/01/2010,1092974
224,75,11,41,02/11/2016,6975710
225,6,267,2,19/08/2016,8874458
226,58,237,30,10/12/2012,7029457
227,83,32,45,11/12/2009,1447745
228,31,55,12,13/01/2011,7678546
229,10,196,21,04/12/2015,1884446
230,21,26,30,17/05/2005,1172041
231,20,76,7,06/09/2001,1576423
232,36,103,7,02/11/2012,5332067
233,43,191,15,03/01/2003,766984
234,26,300,49,17/04/2007,2267227
235,6,235,43,21/06/2006,4790221
236,23,56,37,13/09/2015,2540434
237,32,259,2,19/09/2011,6210078
238,43,242,36,31/03/2011,780441
239,77,107,36,25/09/2015,1519311
240,78,42,40,27/10/2006,9767781
241,84,5,4,19/04/2003,1825195
242,14,87,42,10/07/2012,7441929
243,5,92,5,19/07/2005,4644201
244,62,134,40,16/07/2016,2487738
245,64,60,16,09/12/2007,9668241
246,77,286,22,13/03/2015,4157557
247,78,86,15,14/05/2013,2797587
248,18,291,26,15/01/2006,1559860
249,27,219,1,30/07/2012,4463287
250,29,179,33,05/10/2002,9246721
251,8,69,32,20/03/2017,4933292
252,83,199,6,04/04/2017,9182715
253,8,16,34,24/09/2015,1650269
254,90,266,1,20/02/2005,5443745
255,5,183,16,15/08/2014,4714363
256,60,185,30,20/10/2008,7877628
257,87,54,15,23/05/2015,8512093
258,59,202,18,27/10/2016,8641898
259,64,81,16,01/04/2004,3243655
260,47,90,10,02/05/2014,8547674
261,13,280,10,07/11/2016,6114340
262,31,29,31,02/12/2003,1757047
263,41,251,26,19/03/2011,2259255
264,31,241,12,11/12/2004,8981512
265,80,41,21,18/04/2010,8541653
266,42,71,50,20/10/2012,8130459
267,95,19,4,20/08/2008,5941984
268,52,19,4,10/09/2002,3480259
269,64,126,8,03/11/2013,1004973
270,65,110,3,06/06/2013,3706204
271,18,269,5,03/01/2008,4621633
272,55,146,11,13/05/2014,6629437
273,99,224,33,12/05/2015,7476609
274,14,146,44,05/06/2001,4529121
275,42,142,2,23/04/2014,3381622
276,18,290,6,27/04/2008,4565232
277,76,247,20,19/03/2006,1602315
278,42,249,8,27/02/2003,2580197
279,48,146,40,03/01/2001,547322
280,26,27,26,29/10/2005,9710227
281,41,170,7,06/02/2007,617750
282,92,117,36,30/10/2013,3011833
283,91,167,4,11/11/2001,4781641
284,8,179,47,27/04/2010,6907942
285,57,179,26,10/01/2004,6814689
286,82,69,48,09/11/2003,7720398
287,10,172,44,18/08/2002,9720504
288,22,65,34,06/11/2002,1110964
289,68,177,32,30/05/2002,869270
290,35,118,39,09/11/2009,3708727
291,84,181,13,22/10/2006,2512059
292,41,112,13,20/10/2009,3177820
293,50,219,41,08/11/2014,9550472
294,87,286,49,11/10/2007,6139875
295,82,277,2,17/01/2005,7795057
296,94,23,24,11/09/2010,6623302
297,75,109,16,02/10/2001,500920
298,8,148,11,16/09/2009,9614054
299,58,200,38,01/01/2017,6272772
300,37,22,38,24/06/2016,8488155
301,6,256,34,01/03/2009,7676851
302,66,288,18,04/09/2010,1973711
303,43,9,2,15/09/2004,5086633
304,25,297,30,30/07/2006,8315371
305,39,289,44,31/12/2014,7291153
306,93,63,17,03/02/2017,9127793
307,63,16,49,18/12/2016,7825099
308,56,184,16,28/09/2015,5974618
309,27,211,20,09/11/2007,6119051
310,7,173,17,12/07/2011,7550585
311,38,158,2,10/03/2007,9880624
312,85,149,22,10/05/2010,2652347
313,74,260,38,02/10/2004,7280809
314,33,273,10,10/03/2010,7791940
315,86,74,4,12/03/2013,6836697
316,37,101,7,17/07/2001,6046969
317,55,172,43,08/12/2008,4204323
318,23,135,50,02/06/2008,4303222
319,77,275,46,14/11/2015,7303518
320,26,209,6,13/05/2010,974343
321,100,7,18,17/06/2001,5095997
322,37,291,34,10/06/2000,5968151
323,15,118,41,22/10/2008,7662612
324,47,132,28,10/09/2008,4265796
325,33,149,12,03/11/2011,9585887
326,28,294,38,28/08/2002,8064012
327,52,54,41,31/10/2007,1528416
328,36,290,48,22/04/2010,637748
329,67,63,20,18/06/2002,2394925
330,26,12,16,28/05/2006,8258930
331,47,189,24,15/11/2005,1490882
332,54,224,50,26/12/2003,8800327
333,89,137,23,21/04/2013,8043612
334,28,187,49,22/07/2001,6891098
335,93,140,23,19/04/2010,6620510
336,93,7,21,21/05/2012,9013913
337,100,186,40,04/06/2017,5454124
338,44,187,26,19/03/2007,4286573
339,88,158,15,23/07/2010,6636276
340,7,61,19,15/01/2016,4783270
341,82,296,17,19/06/2015,9631417
342,70,221,20,01/08/2010,9500522
343,27,61,50,20/03/2007,1409501
344,66,35,32,24/11/2016,5614118
345,20,123,46,27/01/2009,2642595
346,98,219,39,15/04/2012,7408683
347,66,185,40,25/09/2005,7435795
348,25,236,20,06/08/2004,2695879
349,48,174,50,14/02/2002,3936272
350,56,222,17,31/12/2006,7816825
351,67,195,9,22/04/2016,4821281
352,35,81,49,13/08/2005,6416952
353,47,70,25,31/01/2001,2296468
354,22,210,27,13/07/2002,3839863
355,70,56,37,15/09/2016,6693833
356,56,16,18,07/12/2013,1768783
357,94,151,16,06/11/2015,1438979
358,84,79,28,06/03/2012,4595929
359,76,26,46,15/05/2009,6622546
360,35,20,41,03/10/2011,1291463
361,41,203,19,05/02/2003,4364295
362,73,43,7,20/03/2007,8786072
363,87,22,22,15/02/2010,9318656
364,98,183,33,29/05/2017,8511986
365,5,147,34,01/01/2010,3899171
366,73,267,1,16/04/2005,2341600
367,65,24,11,08/04/2012,4586375
368,50,32,3,20/03/2010,3329181
369,1,114,15,16/05/2004,3741212
370,15,143,46,09/09/2010,1348313
371,70,234,28,29/03/2005,5096464
372,92,46,36,22/11/2003,9120416
373,94,219,7,18/02/2006,2719749
374,91,90,36,05/10/2013,1145250
375,99,103,13,06/02/2008,1873849
376,88,247,24,20/09/2002,4020181
377,22,134,34,02/01/2002,816731
378,81,189,44,19/12/2003,5879309
379,38,286,14,31/12/2009,1911339
380,66,5,30,05/07/2014,1734193
381,67,181,30,05/09/2011,3237911
382,44,139,5,25/04/2002,5669572
383,64,193,23,16/10/2008,7417728
384,44,172,20,05/03/2004,8998138
385,56,281,8,26/03/2007,4737343
386,39,205,22,06/03/2008,8803598
387,12,106,23,22/03/2005,3777120
388,14,146,31,18/01/2006,8538978
389,17,21,19,18/11/2004,6702812
390,82,135,38,21/01/2008,5485736
391,32,275,25,06/12/2001,4732512
392,77,154,11,03/06/2004,9816782
393,74,34,16,19/02/2009,6542410
394,85,20,16,24/02/2014,1256080
395,13,94,15,08/03/2015,2856626
396,64,143,41,07/07/2011,8890498
397,96,67,18,09/01/2001,7333935
398,49,17,41,15/04/2015,1427596
399,3,93,9,20/01/2015,5560629
400,3,166,19,26/04/2001,8767499
401,11,27,13,15/09/2001,4386560
402,4,202,28,27/12/2016,2818114
403,43,288,48,21/04/2012,2734284
404,65,21,34,20/01/2002,7282732
405,71,141,45,09/04/2015,3922751
406,97,48,48,19/05/2011,5383361
407,7,225,33,07/05/2010,9561385
408,89,67,30,08/07/2007,2404803
409,67,84,9,12/07/2009,9841479
410,92,245,30,28/03/2003,2256457
411,93,231,18,22/03/2009,7467088
412,72,65,33,26/11/2016,3193433
413,19,280,42,18/02/2004,7162262
414,44,248,23,18/04/2001,5746597
415,20,56,21,09/03/2011,6352220
416,94,283,15,23/08/2000,9465252
417,79,94,6,21/08/2006,3881878
418,38,50,20,18/02/2010,3366804
419,95,40,14,15/05/2014,1488757
420,26,177,21,21/10/2011,8637847
421,91,196,23,03/01/2005,4436606
422,18,45,13,20/07/2012,3828193
423,82,100,24,31/05/2014,5912614
424,20,262,47,20/11/2015,6120434
425,72,96,21,04/08/2014,8039306
426,87,104,24,16/11/2012,1615552
427,30,281,40,04/01/2016,4369039
428,51,229,22,21/05/2011,6741453
429,18,104,20,15/01/2002,9655595
430,53,169,19,21/06/2003,2210955
431,23,29,19,22/10/2005,7701563
432,78,261,48,01/05/2010,1876477
433,31,203,36,06/08/2007,846192
434,5,90,12,07/03/2014,1615076
435,2,154,36,23/10/2015,2709189
436,96,10,24,30/03/2008,8830912
437,9,95,17,05/03/2007,9226689
438,10,142,30,14/03/2016,9337124
439,70,50,7,02/12/2013,9259976
440,12,186,12,08/02/2004,2935105
441,10,217,20,31/12/2004,8294943
442,72,180,12,14/02/2006,3241475
443,61,135,4,18/10/2001,8062704
444,84,166,33,26/01/2016,4707803
445,29,134,14,06/09/2016,7109504
446,38,175,13,02/04/2007,7710520
447,89,15,19,15/05/2004,2264497
448,61,245,6,03/05/2016,8957828
449,95,269,10,28/08/2005,4296176
450,34,196,7,19/10/2016,1681309
451,72,293,16,10/04/2015,6597183
452,86,7,40,16/07/2015,1784378
453,13,214,1,01/10/2014,6004481
454,80,78,8,25/06/2014,5145720
455,23,187,15,02/07/2014,1393164
456,69,190,14,09/02/2009,3154739
457,41,136,29,14/01/2015,5886076
458,45,9,16,16/12/2003,8209043
459,1,20,49,30/05/2004,4196227
460,23,63,47,26/08/2011,2762953
461,14,281,4,27/07/2014,8951319
462,35,232,21,01/11/2007,2489214
463,40,43,33,17/03/2015,6341346
464,99,57,3,31/05/2016,7709582
465,43,76,28,05/08/2008,935793
466,35,108,14,19/06/2003,9588190
467,22,171,37,01/04/2015,1945264
468,12,166,16,15/06/2010,2409582
469,88,140,35,19/05/2002,6160405
470,79,229,46,22/10/2000,9232437
471,25,5,32,26/11/2007,7888841
472,31,170,49,17/09/2002,7814171
473,37,56,6,05/07/2009,4840472
474,79,142,21,14/05/2004,9694064
475,59,61,23,21/04/2007,9854614
476,83,227,20,12/04/2010,3613866
477,65,183,33,12/11/2009,5010994
478,48,297,24,15/01/2010,4822947
479,65,151,24,01/04/2010,6869786
480,1,230,26,03/08/2002,9269327
481,12,168,23,10/11/2012,7601397
482,73,265,26,04/03/2007,1679797
483,5,287,32,24/12/2008,7828990
484,60,111,43,15/06/2014,1077148
485,86,154,4,19/02/2007,8872681
486,69,166,44,22/07/2012,9661094
487,60,204,15,13/11/2014,5009078
488,84,195,36,13/01/2004,520752
489,41,159,8,09/10/2009,9851575
490,18,144,40,23/06/2015,9817171
491,65,141,33,29/05/2010,5185115
492,66,98,37,02/02/2004,2664330
493,94,227,34,17/12/2000,7102970
494,99,295,11,21/10/2007,1199172
495,32,65,19,27/03/2007,5321216
496,82,113,46,09/01/2009,8100709
497,22,59,18,22/03/2008,9261931
498,67,183,50,08/07/2015,4544499
499,67,217,46,16/02/2014,5162737
500,56,157,30,15/06/2010,4754504
501,37,191,10,11/06/2001,3222525
502,89,87,24,03/06/2003,5111012
503,72,193,45,06/11/2015,7810560
504,33,217,31,24/11/2000,8096728
505,23,215,28,28/02/2010,2870623
506,71,206,1,18/10/2006,7730909
507,16,233,6,18/07/2015,2408581
508,79,250,16,29/05/2009,6777222
509,90,129,26,13/12/2005,8790756
510,70,260,37,01/09/2011,8267320
511,66,52,27,04/07/2007,2113935
512,97,210,26,31/07/2002,2859050
513,39,215,16,21/05/2012,7217651
514,100,77,2,01/04/2015,9460475
515,26,258,14,23/12/2013,8819988
516,85,39,10,18/05/2006,1705048
517,73,221,5,30/12/2002,3281577
518,46,298,5,13/04/2013,2667365
519,50,136,37,13/04/2003,9168756
520,5,11,36,05/06/2003,6195960
521,66,72,36,07/07/2001,3883453
522,76,20,9,24/07/2003,1740524
523,14,69,48,19/02/2013,1897667
524,29,248,17,14/01/2007,3552838
525,19,97,48,19/02/2008,8318027
526,77,59,21,25/08/2010,4864716
527,98,202,43,03/09/2005,2138558
528,71,14,22,13/10/2000,6144602
529,70,183,43,20/07/2008,4936400
530,56,194,45,01/07/2000,914471
531,98,258,4,07/05/2014,1773506
532,44,201,27,24/05/2001,9907261
533,42,230,23,03/04/2002,4285105
534,100,300,22,22/12/2003,3748597
535,34,155,3,16/08/2006,5215968
536,33,284,14,19/05/2008,5949894
537,34,72,18,13/06/2004,9124776
538,45,208,33,01/04/2008,2307131
539,50,91,3,07/01/2008,6738580
540,62,179,13,04/12/2005,6567774
541,90,84,16,16/06/2016,4912703
542,98,63,11,15/06/2000,3436070
543,56,269,12,25/01/2010,523189
544,69,196,46,15/08/2006,8231453
545,83,147,50,04/02/2015,8320866
546,95,170,7,09/07/2005,3156004
547,74,192,35,17/07/2007,2782950
548,6,26,42,16/07/2006,6779411
549,84,87,41,11/10/2000,647787
550,7,225,47,06/08/2007,3558161
551,28,110,13,24/08/2011,9213531
552,1,159,43,13/03/2005,4636804
553,76,210,17,08/01/2012,9666060
554,11,234,11,25/07/2007,2669794
555,15,256,14,27/02/2009,4838940
556,72,104,41,24/02/2001,4695014
557,11,33,48,18/07/2000,7528579
558,92,160,45,17/12/2001,5557070
559,41,153,18,10/05/2002,1546889
560,3,290,18,03/07/2009,5781934
561,79,35,33,28/04/2004,894822
562,28,48,12,24/02/2003,7053680
563,76,281,2,10/01/2001,7920338
564,94,173,4,14/10/2013,6532988
565,87,113,20,02/06/2001,5702692
566,67,274,20,14/09/2012,7555359
567,16,56,9,27/10/2003,7187394
568,50,202,19,07/06/2011,6433297
569,27,127,16,26/02/2010,3325058
570,11,225,25,14/07/2000,6177438
571,30,240,42,24/05/2002,1699001
572,72,128,21,23/02/2013,2077830
573,16,258,29,09/04/2001,5772208
574,26,47,45,18/04/2008,7702155
575,64,241,50,26/12/2013,3615480
576,57,284,33,15/09/2012,2819897
577,89,251,5,29/04/2011,3346880
578,53,149,45,11/01/2012,8761805
579,60,267,43,04/01/2007,4496555
580,57,74,19,24/03/2006,7059526
581,3,182,25,04/04/2006,703945
582,67,43,49,27/05/2016,6805084
583,42,202,5,03/09/2002,2963238
584,51,294,23,11/07/2014,7983788
585,22,63,33,08/12/2005,4898221
586,74,132,6,28/01/2008,8747156
587,47,221,4,12/07/2004,5854286
588,19,261,46,09/10/2015,2578382
589,64,281,9,31/05/2008,8683086
590,64,127,26,09/08/2008,1226640
591,24,276,15,18/12/2011,1176217
592,4,150,17,24/03/2004,9563550
593,14,83,13,20/05/2005,8733811
594,23,267,10,25/03/2005,2372645
595,37,282,5,03/10/2008,9599956
596,2,300,9,16/12/2001,8080708
597,35,281,38,04/02/2004,6743800
598,83,181,9,26/05/2017,2538438
599,59,42,11,04/07/2000,9856414
600,87,259,6,30/09/2012,3123933
601,15,77,10,03/09/2010,5670872
602,70,178,47,08/09/2008,2711220
603,64,92,45,27/01/2011,6627617
604,10,71,50,17/12/2011,1804568
605,4,124,19,17/03/2004,3665969
606,91,148,45,29/05/2001,1236278
607,29,180,1,12/03/2015,2126580
608,47,19,25,02/04/2017,9090635
609,7,111,34,23/07/2015,1921015
610,6,280,27,21/11/2007,6305384
611,88,190,26,02/11/2007,8416028
612,8,160,5,26/02/2008,9929892
613,21,81,3,11/03/2009,3784108
614,99,217,23,01/01/2009,4018557
615,75,298,35,05/01/2005,4216189
616,59,222,28,04/04/2012,858413
617,45,29,41,19/03/2001,2031922
618,72,255,33,27/06/2002,8403749
619,14,297,35,13/06/2005,6595393
620,92,100,40,28/02/2004,1727236
621,16,294,26,23/01/2011,5988677
622,97,59,35,19/03/2008,4112296
623,86,202,8,20/11/2014,6541213
624,9,253,43,26/10/2014,5867100
625,94,210,37,15/07/2013,6478582
626,33,209,26,01/01/2015,2374252
627,8,14,42,02/08/2009,2595509
628,97,67,5,21/06/2003,3564189
629,45,80,11,15/03/2004,7958350
630,27,162,37,15/09/2013,5849681
631,50,218,12,19/11/2008,9931821
632,91,39,41,22/12/2006,5651966
633,48,277,27,01/07/2010,6716617
634,89,185,22,31/03/2015,2056472
635,67,99,33,31/07/2010,7274338
636,93,296,45,11/09/2002,4369700
637,15,190,30,17/09/2004,3013000
638,62,278,29,03/11/2014,9545875
639,48,116,50,25/04/2003,9426348
640,58,293,21,14/09/2010,9825862
641,46,41,21,26/03/2014,5697249
642,93,222,13,19/04/2008,3641311
643,51,61,4,20/01/2017,1835325
644,16,153,11,22/09/2008,4249937
645,78,135,31,23/10/2004,5298694
646,24,89,36,09/03/2013,4116682
647,64,124,49,23/01/2016,6498448
648,96,98,1,27/07/2010,4884225
649,33,297,21,16/12/2008,9937734
650,77,131,42,09/04/2012,1287011
651,89,131,6,06/03/2012,4474383
652,10,137,50,10/04/2003,2717007
653,14,193,28,28/05/2003,9001784
654,43,9,20,05/11/2002,7253829
655,2,80,13,04/11/2012,4576803
656,34,33,49,25/07/2008,7673952
657,93,128,50,09/02/2017,6804596
658,88,72,32,15/03/2009,8588130
659,43,224,47,26/01/2002,8222175
660,87,228,41,21/09/2000,6714448
661,54,108,9,28/02/2007,1538992
662,99,228,37,28/08/2015,9333016
663,5,211,15,14/09/2005,9359255
664,8,268,41,18/10/2002,4071750
665,44,212,19,23/11/2009,3568711
666,39,280,49,05/08/2012,2083014
667,23,279,45,13/06/2016,1757782
668,13,269,23,07/05/2012,8082825
669,80,88,20,15/12/2011,9206807
670,59,82,26,02/07/2012,8361880
671,17,273,41,18/03/2011,7057284
672,59,145,33,08/06/2010,1422285
673,28,131,36,24/04/2003,4815553
674,96,84,14,08/03/2011,8289665
675,97,44,48,30/04/2009,2698637
676,4,38,18,03/09/2001,4569553
677,2,265,24,15/01/2010,4657488
678,6,217,37,08/04/2009,1211778
679,87,188,43,17/03/2001,5705374
680,78,242,13,14/06/2016,9654438
681,48,99,36,03/04/2009,9499318
682,53,101,16,09/06/2002,7706228
683,48,111,49,13/11/2001,3078790
684,77,236,11,24/05/2008,6508207
685,10,245,9,10/05/2011,4026350
686,21,167,36,12/03/2015,5582495
687,65,234,10,24/03/2006,7270841
688,97,122,27,10/12/2002,8829971
689,41,159,10,16/06/2006,6899709
690,30,103,16,24/02/2008,1097482
691,38,269,30,26/06/2008,9289714
692,100,77,44,26/03/2005,4465974
693,39,242,3,18/07/2015,4114641
694,13,78,46,13/11/2009,6998798
695,38,204,16,24/07/2010,8928272
696,2,160,20,28/06/2000,9301486
697,67,250,3,24/05/2004,5375928
698,22,245,34,15/10/2003,4048170
699,82,98,15,16/08/2000,5938625
700,50,202,34,01/05/2009,2869426
701,89,255,36,12/12/2014,1187031
702,100,238,44,20/08/2016,5630628
703,86,151,34,18/10/2004,8010925
704,16,47,47,11/06/2002,4223410
705,3,77,16,11/12/2006,2850024
706,27,25,48,24/01/2004,987353
707,72,166,3,20/11/2001,5610115
708,68,250,43,18/08/2011,3840107
709,72,108,18,22/06/2002,1491589
710,56,46,36,12/12/2012,9385989
711,29,1,39,10/05/2013,3806037
712,30,92,27,08/03/2010,2917232
713,42,166,9,13/04/2011,4697651
714,64,136,35,24/12/2008,4579077
715,15,121,4,19/08/2015,4757072
716,69,144,22,18/10/2009,707266
717,11,222,6,14/03/2007,1393564
718,55,49,48,12/04/2001,7893846
719,19,135,49,27/04/2009,8574754
720,84,54,15,01/04/2008,4818501
721,68,219,36,09/06/2013,8397020
722,85,266,44,13/08/2000,831137
723,36,277,45,12/06/2004,4960038
724,89,32,33,12/02/2012,3640127
725,74,135,19,23/10/2011,6227581
726,48,86,39,28/11/2004,4173181
727,100,36,29,02/04/2006,2009043
728,31,4,7,29/11/2002,6754354
729,20,4,16,27/04/2017,2648129
730,44,109,26,15/05/2017,2455235
731,79,91,15,16/01/2008,9760334
732,51,241,26,22/03/2015,2782210
733,61,238,35,18/05/2009,7318377
734,19,265,10,25/02/2007,5930598
