idventa,numregistro,iddueno,idasesor,FAquisicion,ValorPropiedad
73,89,79,39,06/04/2013,4262604
74,34,71,28,06/03/2004,583772
75,97,35,2,17/01/2007,9189003
76,38,194,16,25/09/2012,5513759
77,90,170,11,30/11/2003,637135
78,25,12,28,27/07/2008,6513081
79,24,197,24,14/08/2008,5109868
80,39,175,11,11/06/2014,4542374
81,29,90,32,12/04/2009,9195085
82,79,110,27,28/07/2005,9487430
83,54,5,48,28/12/2015,663648
84,91,101,40,25/05/2012,2148727
85,19,70,37,20/05/2005,3072586
86,9,162,3,26/10/2000,1399740
87,41,80,34,19/08/2008,4714382
88,83,8,9,28/06/2001,6128112
89,76,41,25,28/08/2003,4235782
90,41,134,48,31/12/2012,6148693
91,30,201,2,26/02/2002,8067927
92,11,198,2,16/07/2010,2221662
93,89,129,8,28/12/2012,904222
94,82,149,24,13/03/2009,3036752
95,99,174,14,24/09/2016,6539901
96,18,74,30,28/12/2014,5025745
97,70,80,50,19/08/2000,7993533
98,97,12,35,22/01/2004,9503259
99,65,206,34,09/04/2006,5286891
100,17,191,18,07/04/2001,8237418
101,80,75,37,15/03/2005,5440344
102,82,277,49,24/05/2006,6309153
103,83,102,38,15/04/2010,986898
104,93,43,50,23/11/2006,6953777
105,53,111,5,16/03/2001,8150939
106,43,298,50,08/11/2009,8322366
107,44,109,29,31/05/2003,6358643
108,59,42,4,25/08/2002,7787998
109,15,182,4,03/04/2013,3731835
110,100,4,29,02/01/2014,3671585
111,56,91,48,22/12/2014,2101403
112,65,241,49,12/10/2014,8705094
113,23,50,2,24/10/2004,1863845
114,25,133,17,18/05/2012,7745753
115,69,190,38,01/08/2015,4508176
116,81,7,34,22/02/2010,3586333
117,55,24,30,10/10/2004,8924626
118,54,66,23,12/02/2003,2252728
119,59,203,42,03/05/2004,2953966
120,59,29,41,29/12/2010,882808
121,81,224,25,30/03/2010,8814157
122,27,23,40,08/10/2012,1245453
123,4,83,29,09/11/2011,7063697
124,25,125,45,16/03/2016,8818683
125,13,193,21,29/03/2007,6954167
126,39,31,38,04/07/2012,7857731
127,89,217,19,07/05/2012,820426
128,34,233,35,15/07/2004,3824469
129,58,273,24,02/07/2007,5667729
130,23,53,13,08/11/2015,4928643
131,38,78,18,13/03/2004,9723794
132,65,163,13,01/07/2003,5651085
133,26,177,12,07/02/2016,8760133
134,23,184,16,13/02/2006,6089916
135,66,12,39,23/12/2009,3590638
136,63,164,20,25/08/2004,5600943
137,86,150,46,17/05/2001,9841679
138,4,129,9,07/10/2014,5964531
139,8,99,19,11/11/2015,3509933
140,48,261,33,20/12/2004,2231705
141,75,143,42,17/06/2004,5086592
142,81,195,38,30/10/2006,4844871
143,84,168,39,09/01/2008,2366681
144,97,288,20,15/10/2006,1084396
145,89,33,29,11/10/2010,1133604
146,67,151,12,22/06/2008,4148600
147,55,61,43,12/01/2006,3555381
148,14,17,19,28/05/2016,1558758
149,13,10,26,17/10/2011,678343
150,38,29,37,20/06/2013,3539205
151,56,215,28,23/03/2001,7872100
152,91,157,43,16/09/2012,896995
153,55,6,27,20/09/2011,1292753
154,16,85,12,16/04/2009,6575081
155,96,56,3,21/02/2008,8129893
156,72,81,3,13/03/2011,2823374
157,82,288,27,16/07/2005,3928831
158,83,180,26,19/09/2004,4693935
159,83,289,14,19/06/2013,3634990
160,1,296,2,19/05/2017,4741942
161,98,273,9,19/12/2001,6534007
162,63,54,13,01/11/2002,5196489
163,25,120,44,16/04/2003,8936327
164,14,93,36,13/10/2004,539312
165,66,236,5,17/03/2002,3668582
166,41,45,33,22/09/2005,3910514
167,69,215,35,29/01/2006,8291292
168,79,282,13,10/08/2002,3792586
169,92,208,7,12/12/2009,2645734
170,76,201,2,21/11/2010,4521636
171,64,211,13,14/09/2001,3509450
172,89,39,9,25/07/2015,568136
173,89,61,39,01/01/2016,3770972
174,90,242,36,16/02/2013,2109574
175,61,143,9,05/08/2002,3349516
176,31,79,43,17/04/2017,8710592
177,31,207,33,21/01/2006,4670849
178,97,225,11,07/04/2017,9810183
179,10,256,13,17/09/2015,2778227
180,25,148,22,17/09/2004,9646205
181,10,199,21,29/11/2004,8730803
182,36,131,27,28/05/2016,1483188
183,38,245,31,27/06/2013,7465697
184,4,217,30,08/06/2006,6085978
185,94,203,1,14/06/2003,9441725
186,11,138,5,09/03/2017,4537582
187,62,132,49,16/03/2002,5326926
188,69,268,10,13/10/2005,7560005
189,14,50,44,22/03/2007,2188537
190,16,135,31,29/05/2008,9894287
191,3,115,2,01/08/2005,6484630
192,61,183,25,04/05/2009,623482
193,91,299,2,02/12/2013,2259306
194,64,208,42,21/10/2015,9351636
195,36,268,34,18/02/2006,3911686
196,94,151,28,08/07/2004,7452720
197,10,148,36,27/03/2013,2600997
198,6,164,9,30/06/2005,5178446
199,51,158,10,17/09/2005,9760765
200,32,273,7,13/08/2001,6816776
201,40,103,26,24/03/2009,3696784
202,85,182,16,05/12/2003,8013298
203,13,291,29,16/06/2014,5932793
204,19,59,40,10/08/2003,7978448
205,2,121,3,09/06/2007,3506888
206,83,211,2,15/06/2009,2837745
207,35,200,32,08/10/2004,9816258
208,38,223,42,08/12/2000,6176257
209,15,265,22,02/01/2011,9547067
210,84,115,9,14/04/2013,4548087
211,38,188,29,01/09/2011,9551727
212,62,217,21,05/08/2012,7191136
213,97,172,20,23/05/2014,1780947
214,58,150,36,15/12/2002,9488537
215,89,245,30,08/01/2008,9460034
216,94,298,39,18/05/2017,4294530
217,36,129,20,15/01/2004,7836208
218,62,100,32,04/02/2009,941879
219,15,135,48,12/04/2011,1667106
220,30,255,9,20/01/2014,6158664
221,28,237,20,02/10/2016,4863518
222,15,12,28,09/09/2016,8433218
223,4,214,27,13/04/2006,7430035
224,71,224,46,09/10/2006,7527051
225,68,155,32,29/11/2000,7392473
226,57,179,4,25/07/2000,9962986
227,67,261,15,23/11/2003,3909006
228,26,51,7,31/08/2015,4193676
229,22,126,42,20/05/2012,3041357
230,44,249,18,18/03/2016,6012503
231,20,299,20,09/04/2014,1365657
232,31,155,12,08/12/2009,7692014
233,63,162,9,09/02/2004,4407808
234,54,144,43,20/02/2011,6084857
235,47,167,20,20/03/2011,9997664
236,62,61,17,19/02/2014,7108255
237,57,299,41,24/07/2001,1386442
238,18,17,14,26/03/2011,1350490
239,68,12,7,08/08/2009,919957
240,87,153,50,06/10/2016,9952099
241,78,162,42,28/12/2009,9327701
242,75,128,27,09/08/2005,4902982
243,32,214,44,02/08/2015,7577003
244,78,114,11,28/12/2001,4788824
245,93,220,26,13/03/2007,1491521
246,68,207,3,18/04/2011,4937104
247,30,59,16,26/06/2009,2902357
248,14,107,9,14/02/2004,5282941
249,3,149,1,02/03/2017,7409540
250,54,59,27,08/01/2003,6975111
251,22,260,45,16/02/2010,4887959
252,13,182,42,17/02/2014,6842955
253,61,78,12,19/01/2004,9095380
254,38,149,3,03/09/2012,2458870
255,17,279,37,07/04/2006,5415997
256,78,210,48,27/02/2015,7408309
257,75,76,1,10/08/2004,4569450
258,13,147,30,19/06/2007,5493057
259,80,34,42,31/12/2001,7451136
260,43,149,24,24/05/2016,9149542
261,61,221,41,08/02/2002,4664104
262,71,57,49,04/06/2008,6115938
263,35,96,5,06/08/2004,8051289
264,38,10,47,03/06/2004,644629
265,6,222,37,04/04/2008,7715780
266,47,71,39,17/06/2010,3925147
267,86,39,4,23/01/2013,7634274
268,87,216,33,01/11/2000,1898606
269,96,115,2,05/10/2000,5122391
270,51,5,31,16/08/2016,4805862
271,53,294,20,07/06/2010,9208901
272,48,273,32,25/12/2016,9612678
273,35,274,36,17/12/2009,6141201
274,69,273,25,08/09/2002,5798012
275,69,61,6,12/08/2007,2716370
276,26,155,37,04/05/2004,4615539
277,52,248,29,17/08/2015,4229780
278,49,268,35,10/10/2004,6361750
279,85,123,39,16/07/2004,3716634
280,38,124,13,15/07/2000,5395425
281,1,170,20,01/10/2006,1470696
282,87,231,41,23/08/2008,9787169
283,31,17,41,12/01/2010,7211253
284,94,206,16,25/06/2007,3190235
285,17,100,6,28/11/2005,7257315
286,55,204,39,29/07/2016,9917167
287,94,112,37,07/08/2002,6290553
288,30,174,44,18/02/2012,4987728
289,38,242,21,24/10/2000,9670324
290,43,44,48,25/08/2008,4195508
291,62,49,39,16/06/2009,7454263
292,14,71,1,01/04/2016,859096
293,97,133,7,24/09/2009,4636867
294,2,57,28,21/01/2004,3307698
295,27,167,35,01/07/2015,7525469
296,64,278,44,26/10/2005,6248055
297,16,231,9,11/10/2015,1151386
298,96,62,32,05/12/2005,3844980
299,93,73,28,07/09/2015,9755417
300,66,39,47,02/07/2015,5772854
