idventa,numregistro,iddueno,idasesor,FAquisicion,ValorPropiedad
229,58,66,47,16/04/2010,9582116
230,9,19,31,22/06/2004,5375111
231,100,132,3,24/01/2002,7401920
232,23,8,44,27/12/2014,7797373
233,17,82,9,01/05/2011,8521667
234,11,291,23,14/07/2000,6340427
235,66,160,17,27/09/2009,9179882
236,35,203,18,27/08/2001,9367831
237,81,151,9,10/07/2016,847570
238,7,250,39,10/01/2003,7319642
239,35,153,26,19/10/2005,8416437
240,9,36,19,16/09/2000,6983369
241,42,240,14,31/12/2011,6670769
242,53,197,3,25/11/2002,5749452
243,87,65,46,13/10/2002,7320289
244,59,207,31,23/08/2012,7333194
245,11,206,27,29/05/2012,1439015
246,37,124,7,05/08/2002,1109534
247,28,44,32,25/09/2011,5417705
248,14,156,40,15/10/2009,9365938
249,47,150,22,12/07/2010,7767702
250,57,106,12,22/06/2007,5845150
251,100,278,40,05/02/2012,7328066
252,30,192,46,19/12/2005,8494803
253,93,282,26,13/02/2013,8544128
254,39,236,6,09/04/2009,4067807
255,22,57,39,27/05/2010,8393582
256,89,209,25,26/04/2003,6124222
257,68,218,18,04/07/2013,6145646
258,11,161,20,10/10/2005,4068505
259,74,123,45,10/11/2003,8958797
260,93,245,22,19/03/2004,5205331
261,96,269,34,06/04/2005,6176203
262,30,161,38,19/11/2001,6764564
263,89,204,26,27/08/2007,945534
264,34,149,21,09/03/2014,1760447
265,94,245,28,28/02/2011,5049755
266,16,297,35,23/07/2011,5211416
267,13,96,40,30/03/2008,1799718
268,31,225,35,27/06/2004,9583284
269,37,98,22,03/01/2011,2552146
270,10,107,48,01/09/2010,8175347
271,93,227,7,11/06/2004,3181496
272,50,213,45,14/10/2015,6766193
273,43,223,28,11/11/2003,9708809
274,67,4,41,05/07/2004,3490074
275,48,76,39,29/05/2012,3733367
276,79,30,16,18/12/2003,9896521
277,18,45,20,02/04/2006,8613280
278,52,121,38,02/05/2003,1830202
279,80,67,50,25/10/2002,9600233
280,58,231,25,07/04/2004,3122125
281,22,289,44,28/12/2003,1452658
282,8,125,11,19/08/2015,9357031
283,12,218,22,05/01/2005,6760694
284,51,74,13,13/02/2004,4863247
285,10,135,42,26/04/2008,4238188
286,7,281,50,25/02/2010,7064431
287,5,112,28,21/04/2017,3752616
288,52,160,46,21/12/2003,2310998
289,21,150,24,19/08/2008,9817682
290,23,249,49,20/09/2004,7500812
291,29,197,13,24/05/2008,3077112
292,2,83,34,03/10/2009,910667
293,86,202,10,22/09/2011,8700770
294,9,273,44,05/10/2002,7080380
295,39,244,24,10/12/2014,8988289
296,61,130,24,07/11/2000,1160563
297,48,142,33,30/12/2016,6023541
298,39,292,21,14/02/2003,9237070
299,63,69,14,18/06/2008,1998674
300,3,24,46,14/11/2015,9469091
