iddueno,numregistro,Frecesion,FAdquisicion
11,62,28/08/2002,04/10/13652
293,22,13/11/2002,30/11/14407
115,33,25/04/2003,21/02/8781
170,1,28/02/2002,30/04/16393
8,80,24/03/2003,13/12/17154
48,25,24/10/2001,18/09/5344
163,86,06/02/2002,09/01/2883
300,84,17/12/2003,18/09/19239
47,36,05/03/2003,28/06/18273
70,78,14/04/2001,17/03/14775
287,63,30/12/2000,31/08/2642
4,43,04/06/2002,02/12/8825
70,89,27/04/2004,27/05/17241
92,34,21/12/2003,24/08/7404
226,5,24/06/2003,12/05/13797
38,31,20/09/2002,13/07/5652
112,53,03/11/2002,20/07/4389
40,18,23/10/2000,27/08/11595
101,57,27/04/2001,15/11/19271
143,12,06/10/2000,10/09/17740
15,10,15/07/2000,29/10/15059
116,34,03/01/2003,04/08/4304
260,46,05/12/2000,17/06/6485
222,9,19/04/2004,29/07/17119
157,32,21/01/2001,27/10/4315
264,51,19/07/2001,31/07/3046
189,93,25/11/2002,11/09/2714
137,75,12/01/2002,10/11/2671
220,85,13/12/2001,04/09/7967
24,68,07/08/2000,21/03/10930
222,85,10/09/2003,30/11/4097
162,14,12/10/2002,26/12/19595
260,38,28/08/2000,13/07/10693
201,45,28/05/2003,20/04/11934
181,17,01/04/2002,22/04/11280
282,74,15/11/2001,01/09/8720
108,87,27/03/2004,06/09/9039
289,26,21/03/2003,18/10/6347
201,33,29/06/2000,30/07/9166
206,89,27/04/2001,16/02/9682
25,83,11/06/2001,30/04/8882
151,70,26/02/2004,21/10/6790
193,24,29/05/2001,11/05/4706
281,14,08/04/2004,11/03/8076
292,21,18/01/2003,27/11/11816
234,88,06/10/2003,16/12/12248
29,98,25/05/2002,13/02/17311
84,40,19/12/2002,31/08/6208
202,91,15/04/2002,20/04/12447
58,50,20/08/2003,05/08/16054
190,59,19/04/2004,25/02/6138
28,60,28/12/2002,27/01/15037
48,69,29/08/2000,01/05/11720
238,81,23/08/2001,27/11/6257
77,30,25/01/2002,20/03/13155
54,64,05/06/2002,16/11/5860
2,5,06/03/2004,13/08/2180
235,93,15/07/2001,19/07/17459
30,59,22/10/2003,02/09/16967
215,65,16/05/2004,18/06/3273
33,79,02/04/2003,06/12/2496
112,63,29/09/2001,29/09/15612
66,89,29/03/2004,29/09/4998
147,33,14/11/2000,29/11/15061
53,7,15/02/2002,13/08/14715
198,17,06/11/2001,03/11/3728
214,89,19/05/2002,16/02/2237
193,64,17/02/2002,25/01/14159
276,35,15/05/2001,17/10/2887
81,82,21/01/2004,06/04/13582
268,1,29/07/2001,19/09/2935
213,89,14/02/2003,28/03/16519
136,8,21/12/2000,28/05/19067
48,39,15/09/2003,27/11/18253
159,67,29/06/2001,31/05/19733
63,36,10/05/2002,31/08/18569
240,85,30/05/2002,11/11/10323
96,45,04/09/2001,11/08/18812
9,70,07/02/2003,04/09/13468
4,45,19/08/2000,17/02/6216
234,68,13/01/2002,02/05/7497
249,86,15/02/2001,04/02/12264
89,98,13/02/2003,04/11/18623
225,46,12/05/2003,31/12/18854
183,68,29/11/2003,27/07/17494
253,53,29/06/2001,10/06/10853
271,49,07/03/2001,22/08/11489
190,73,06/09/2002,08/08/15138
146,80,20/04/2004,27/03/10984
153,60,15/03/2003,07/01/7703
161,86,21/08/2000,11/10/2542
278,16,30/06/2003,28/12/6527
172,39,31/12/2001,21/04/11112
62,29,26/01/2004,01/11/13748
262,63,14/06/2001,24/10/12490
